,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-11,BCH/USD,25.0,483.45,483.2,0.012927913951804737,-0.13707208604819526,0.15,False,Binance US,Coinbase Pro
1,01-13-2021_19-15-20,BCH/USD,25.0,483.343,483.09,0.013085945177650382,-0.11391405482234962,0.127,False,Bittrex,Kraken
2,01-13-2021_19-15-31,BCH/USD,25.0,483.334,483.0,0.017275838240223284,-0.16472416175977672,0.182,False,Bittrex,Coinbase Pro
3,01-13-2021_19-15-43,BCH/USD,25.0,483.328,482.94,0.020069186970337785,-0.16193081302966222,0.182,False,Bittrex,Coinbase Pro
4,01-13-2021_19-15-53,BCH/USD,25.0,483.2,482.5,0.03621688741721796,-0.14578311258278204,0.182,False,Bittrex,Coinbase Pro
5,01-13-2021_19-16-04,BCH/USD,25.0,483.198,482.38,0.042322195042197176,-0.08467780495780283,0.127,False,Bittrex,Kraken
6,01-13-2021_19-16-15,BCH/USD,25.0,482.913,482.38,0.027592961879262697,-0.09940703812073731,0.127,False,Bittrex,Kraken
7,01-13-2021_19-16-25,BCH/USD,25.0,482.758,482.17,0.030450039150048548,-0.09654996084995146,0.127,False,Bittrex,Kraken
8,01-13-2021_19-16-35,BCH/USD,25.0,482.747,482.11,0.03298829407536455,-0.09401170592463545,0.127,False,Bittrex,Kraken
9,01-13-2021_19-16-47,BCH/USD,25.0,481.753,481.29,0.024026835328475663,-0.15797316467152434,0.182,False,Bittrex,Coinbase Pro
10,01-13-2021_19-17-00,BCH/USD,25.0,481.449,480.36,0.056548045587383015,-0.12545195441261697,0.182,False,Bittrex,Coinbase Pro
11,01-13-2021_19-17-12,BCH/USD,25.0,480.477,480.18,0.015453393190515292,-0.16654660680948472,0.182,False,Bittrex,Coinbase Pro
12,01-13-2021_19-17-23,BCH/USD,25.0,480.5,480.08,0.02185223725286243,-0.12814776274713757,0.15,False,Binance US,Coinbase Pro
13,01-13-2021_19-17-33,BCH/USD,25.0,480.63,480.34,0.01508436843309929,-0.1699156315669007,0.185,False,Kraken,Coinbase Pro
14,01-13-2021_19-17-43,BCH/USD,25.0,480.56,480.27,0.015086565673382119,-0.16991343432661787,0.185,False,Kraken,Coinbase Pro
15,01-13-2021_19-17-56,BCH/USD,25.0,480.306,479.83,0.02477587204823587,-0.15722412795176413,0.182,False,Bittrex,Coinbase Pro
16,01-13-2021_19-18-08,BCH/USD,25.0,480.296,479.85,0.023214850841979193,-0.10378514915802081,0.127,False,Bittrex,Kraken
17,01-13-2021_19-18-18,BCH/USD,25.0,480.29,480.0,0.01509504674259408,-0.13490495325740592,0.15,False,Binance US,Coinbase Pro
18,01-13-2021_19-18-30,BCH/USD,25.0,480.77,480.51,0.013519978368034138,-0.05153002163196586,0.06505,False,Kraken,Binance US
19,01-13-2021_19-18-41,BCH/USD,25.0,480.673,480.01,0.03448290209768444,-0.14751709790231554,0.182,False,Bittrex,Coinbase Pro
20,01-13-2021_19-18-51,BCH/USD,25.0,480.51,480.08,0.02237206301637879,-0.1276279369836212,0.15,False,Binance US,Coinbase Pro
21,01-13-2021_19-19-02,BCH/USD,25.0,480.51,479.95,0.02913570997481854,-0.12086429002518145,0.15,False,Binance US,Coinbase Pro
22,01-13-2021_19-19-14,BCH/USD,25.0,480.358,479.8,0.02904084037322126,-0.15295915962677872,0.182,False,Bittrex,Coinbase Pro
23,01-13-2021_19-19-25,BCH/USD,25.0,480.51,479.95,0.02913570997481854,-0.12086429002518145,0.15,False,Binance US,Coinbase Pro
24,01-13-2021_19-19-37,BCH/USD,25.0,480.51,479.95,0.02913570997481854,-0.12086429002518145,0.15,False,Binance US,Coinbase Pro
25,01-13-2021_19-19-48,BCH/USD,25.0,480.33,479.7,0.03278995690462783,-0.14921004309537217,0.182,False,Bittrex,Coinbase Pro
26,01-13-2021_19-19-59,BCH/USD,25.0,480.39,479.95,0.022898061991298617,-0.11710193800870136,0.13999999999999999,False,Binance US,Coinbase Pro
27,01-13-2021_19-20-11,BCH/USD,25.0,480.39,479.95,0.022898061991298617,-0.11710193800870136,0.13999999999999999,False,Binance US,Coinbase Pro
28,01-13-2021_19-20-23,BCH/USD,25.0,480.39,479.95,0.022898061991298617,-0.11710193800870136,0.13999999999999999,False,Binance US,Coinbase Pro
29,01-13-2021_19-20-34,BCH/USD,25.0,480.75,480.51,0.012480499219969271,-0.052569500780030726,0.06505,False,Kraken,Binance US
30,01-13-2021_19-20-45,BCH/USD,25.0,480.77,480.48,0.015079975872036713,-0.16992002412796328,0.185,False,Kraken,Coinbase Pro
31,01-13-2021_19-20-55,BCH/USD,25.0,480.79,480.51,0.014559371035172818,-0.05049062896482718,0.06505,False,Kraken,Binance US
32,01-13-2021_19-21-05,BCH/USD,25.0,480.84,480.51,0.017157474419764583,-0.047892525580235414,0.06505,False,Kraken,Binance US
