,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-04,DASH/USD,25.0,135.652,135.21,0.08145843776722402,-0.10354156223277598,0.185,False,Kraken,Coinbase Pro
1,01-13-2021_19-15-14,DASH/USD,25.0,135.75,135.319,0.07937384898711079,-0.06062615101288919,0.13999999999999999,False,Binance US,Coinbase Pro
2,01-13-2021_19-15-25,DASH/USD,25.0,135.71,135.285,0.07829194606145666,-0.07170805393854333,0.15,False,Binance US,Coinbase Pro
3,01-13-2021_19-15-37,DASH/USD,25.0,135.29938268,134.471,0.1530647560231729,-0.02943524397682709,0.1825,False,Bittrex,Coinbase Pro
4,01-13-2021_19-15-47,DASH/USD,25.0,134.73,133.764,0.17924738365619755,0.029247383656197556,0.15,True,Binance US,Coinbase Pro
5,01-13-2021_19-15-57,DASH/USD,25.0,134.962,134.44216364,0.09629309731628151,-0.031206902683718493,0.1275,False,Kraken,Bittrex
6,01-13-2021_19-16-09,DASH/USD,25.0,134.923,134.38,0.1006129421966615,-0.0843870578033385,0.185,False,Kraken,Coinbase Pro
7,01-13-2021_19-16-19,DASH/USD,25.0,134.807,134.47988724,0.06066316289213047,-0.06683683710786953,0.1275,False,Kraken,Bittrex
8,01-13-2021_19-16-30,DASH/USD,25.0,134.978,134.382,0.11038835958452554,-0.07461164041547445,0.185,False,Kraken,Coinbase Pro
9,01-13-2021_19-16-40,DASH/USD,25.0,134.803,134.331,0.08753514387662151,-0.09746485612337849,0.185,False,Kraken,Coinbase Pro
10,01-13-2021_19-16-52,DASH/USD,25.0,134.73,134.115,0.11411712313515564,-0.03588287686484436,0.15,False,Binance US,Coinbase Pro
11,01-13-2021_19-17-04,DASH/USD,25.0,134.73,133.738,0.1840718473984989,0.03407184739849892,0.15,True,Binance US,Coinbase Pro
12,01-13-2021_19-17-16,DASH/USD,25.0,134.55,134.039,0.09494611668525159,-0.055053883314748406,0.15,False,Binance US,Coinbase Pro
13,01-13-2021_19-17-27,DASH/USD,25.0,134.559,134.149,0.07617476348664835,-0.10882523651335164,0.185,False,Kraken,Coinbase Pro
14,01-13-2021_19-17-37,DASH/USD,25.0,134.543,134.172,0.06893706844652069,-0.11606293155347931,0.185,False,Kraken,Coinbase Pro
15,01-13-2021_19-17-49,DASH/USD,25.0,134.541,134.139,0.07469841906927756,-0.11030158093072244,0.185,False,Kraken,Coinbase Pro
16,01-13-2021_19-18-00,DASH/USD,25.0,134.522,134.094,0.07954089293944434,-0.10545650706055563,0.18499739999999998,False,Kraken,Coinbase Pro
17,01-13-2021_19-18-12,DASH/USD,25.0,134.507,134.26082278,0.045755466258260304,-0.0817445337417397,0.1275,False,Kraken,Bittrex
18,01-13-2021_19-18-24,DASH/USD,25.0,135.23337564,134.535,0.12910563621866467,-0.05339436378133533,0.1825,False,Bittrex,Coinbase Pro
19,01-13-2021_19-18-34,DASH/USD,25.0,135.15,134.499,0.12042175360710514,-0.01957824639289485,0.13999999999999999,False,Binance US,Coinbase Pro
20,01-13-2021_19-18-45,DASH/USD,25.0,134.844,134.456,0.07193497671383325,-0.11306502328616674,0.185,False,Kraken,Coinbase Pro
21,01-13-2021_19-18-56,DASH/USD,25.0,134.825,134.43,0.07324309289819801,-0.11175690710180199,0.185,False,Kraken,Coinbase Pro
22,01-13-2021_19-19-07,DASH/USD,25.0,134.783,134.386,0.07363688298969294,-0.11136311701030706,0.185,False,Kraken,Coinbase Pro
23,01-13-2021_19-19-19,DASH/USD,25.0,134.783,134.386,0.07363688298969294,-0.11136311701030706,0.185,False,Kraken,Coinbase Pro
24,01-13-2021_19-19-29,DASH/USD,25.0,135.71,134.49817168,0.22323858227101814,0.13073858227101814,0.0925,True,Binance US,Bittrex
25,01-13-2021_19-19-41,DASH/USD,25.0,135.69,134.5,0.21924976048345451,0.07924976048345453,0.13999999999999999,True,Binance US,Coinbase Pro
26,01-13-2021_19-19-52,DASH/USD,25.0,135.05,134.558,0.09107737874861507,-0.04892262125138491,0.13999999999999999,False,Binance US,Coinbase Pro
27,01-13-2021_19-20-04,DASH/USD,25.0,135.199,134.572,0.11594020665833503,-0.06905979334166497,0.185,False,Kraken,Coinbase Pro
28,01-13-2021_19-20-16,DASH/USD,25.0,134.91,134.576,0.06189311392780431,-0.08810688607219569,0.15,False,Binance US,Coinbase Pro
29,01-13-2021_19-20-27,DASH/USD,25.0,134.91,134.62425628,0.05295080423986348,-0.03954919576013652,0.0925,False,Binance US,Bittrex
30,01-13-2021_19-20-38,DASH/USD,25.0,134.89,134.555,0.062087626955293115,-0.08791237304470688,0.15,False,Binance US,Coinbase Pro
31,01-13-2021_19-20-48,DASH/USD,25.0,134.93,134.67,0.04817312680649583,-0.10182687319350417,0.15,False,Binance US,Coinbase Pro
32,01-13-2021_19-20-59,DASH/USD,25.0,134.93,134.644,0.05299043948714173,-0.09700956051285826,0.15,False,Binance US,Coinbase Pro
33,01-13-2021_19-21-09,DASH/USD,25.0,134.93,134.651,0.051693470688504474,-0.09830652931149553,0.15,False,Binance US,Coinbase Pro
34,01-13-2021_19-21-19,DASH/USD,25.0,134.93,134.681,0.04613503298006285,-0.10386496701993714,0.15,False,Binance US,Coinbase Pro
35,01-13-2021_19-21-30,DASH/USD,25.0,134.93,134.668,0.04854368932038843,-0.10145631067961156,0.15,False,Binance US,Coinbase Pro
36,01-13-2021_19-21-41,DASH/USD,25.0,134.93,134.674,0.047432001778700106,-0.10256799822129989,0.15,False,Binance US,Coinbase Pro
37,01-13-2021_19-21-51,DASH/USD,25.0,134.93,134.742,0.03483287630623593,-0.11516712369376406,0.15,False,Binance US,Coinbase Pro
38,01-13-2021_19-22-02,DASH/USD,25.0,135.07,134.808,0.04849337380617466,-0.10150662619382533,0.15,False,Binance US,Coinbase Pro
39,01-13-2021_19-22-13,DASH/USD,25.0,135.07,134.819,0.046457392463168136,-0.10354260753683187,0.15,False,Binance US,Coinbase Pro
40,01-13-2021_19-22-22,DASH/USD,25.0,135.07,134.816,0.04701266010216752,-0.10298733989783247,0.15,False,Binance US,Coinbase Pro
41,01-13-2021_19-22-32,DASH/USD,25.0,135.06,134.655,0.07496668147490025,-0.07503331852509974,0.15,False,Binance US,Coinbase Pro
42,01-13-2021_19-22-42,DASH/USD,25.0,134.844,134.509,0.06210880721426388,-0.12289119278573613,0.185,False,Kraken,Coinbase Pro
43,01-13-2021_19-22-52,DASH/USD,25.0,135.08,134.742,0.06255552265324664,-0.08744447734675335,0.15,False,Binance US,Coinbase Pro
44,01-13-2021_19-23-01,DASH/USD,25.0,135.06,134.679,0.07052421146157267,-0.07947578853842732,0.15,False,Binance US,Coinbase Pro
45,01-13-2021_19-23-11,DASH/USD,25.0,135.03,134.793,0.04387913796933918,-0.09612086203066081,0.13999999999999999,False,Binance US,Coinbase Pro
46,01-13-2021_19-23-20,DASH/USD,25.0,135.07,134.85658197,0.03950137521284991,-0.05299862478715009,0.0925,False,Binance US,Bittrex
47,01-13-2021_19-23-31,DASH/USD,25.0,135.07,134.865,0.037943288665133655,-0.057056711334866346,0.095,False,Binance US,Kraken
48,01-13-2021_19-23-40,DASH/USD,25.0,135.158,134.937,0.04087808342827935,-0.14412191657172063,0.185,False,Kraken,Coinbase Pro
49,01-13-2021_19-23-49,DASH/USD,25.0,135.147,134.886,0.04828076094918786,-0.13671923905081212,0.185,False,Kraken,Coinbase Pro
50,01-13-2021_19-23-59,DASH/USD,25.0,135.096,134.766,0.06106768520163671,-0.12393231479836328,0.185,False,Kraken,Coinbase Pro
51,01-13-2021_19-24-10,DASH/USD,25.0,135.07,134.781,0.05349078255719021,-0.10650921744280979,0.16,False,Binance US,Coinbase Pro
52,01-13-2021_19-24-20,DASH/USD,25.0,135.07,134.779,0.05386096098319331,-0.09613903901680668,0.15,False,Binance US,Coinbase Pro
53,01-13-2021_19-24-30,DASH/USD,25.0,135.07,134.831,0.04423632190716005,-0.10576367809283994,0.15,False,Binance US,Coinbase Pro
54,01-13-2021_19-24-39,DASH/USD,25.0,135.07,134.811,0.047938106167170015,-0.10206189383282999,0.15,False,Binance US,Coinbase Pro
55,01-13-2021_19-24-48,DASH/USD,25.0,135.014,134.66,0.06554875790658994,-0.11945124209341006,0.185,False,Kraken,Coinbase Pro
56,01-13-2021_19-24-58,DASH/USD,25.0,135.05,134.721,0.06090336912254863,-0.12409663087745137,0.185,False,Kraken,Coinbase Pro
57,01-13-2021_19-25-09,DASH/USD,25.0,135.027,134.76765131,0.048017931598864666,-0.07948206840113534,0.1275,False,Kraken,Bittrex
58,01-13-2021_19-25-18,DASH/USD,25.0,135.06,134.811,0.046090626388270994,-0.138909373611729,0.185,False,Kraken,Coinbase Pro
59,01-13-2021_19-25-28,DASH/USD,25.0,135.057,134.831,0.04183418852780661,-0.14316581147219337,0.185,False,Kraken,Coinbase Pro
60,01-13-2021_19-25-38,DASH/USD,25.0,135.054,134.779,0.0509055637004468,-0.1340944362995532,0.185,False,Kraken,Coinbase Pro
61,01-13-2021_19-25-47,DASH/USD,25.0,135.054,134.757,0.054978008796480855,-0.13002199120351915,0.185,False,Kraken,Coinbase Pro
62,01-13-2021_19-25-57,DASH/USD,25.0,135.013,134.703,0.05740187981898081,-0.12759812018101918,0.185,False,Kraken,Coinbase Pro
63,01-13-2021_19-26-07,DASH/USD,25.0,134.978,134.69618941,0.05219565225444526,-0.07530434774555475,0.1275,False,Kraken,Bittrex
64,01-13-2021_19-26-17,DASH/USD,25.0,134.968,134.666,0.055939185584729816,-0.12906081441527018,0.185,False,Kraken,Coinbase Pro
65,01-13-2021_19-26-28,DASH/USD,25.0,134.968,134.69618935,0.050347239716079364,-0.07715276028392064,0.1275,False,Kraken,Bittrex
66,01-13-2021_19-26-38,DASH/USD,25.0,134.968,134.707,0.04834479283978345,-0.13665520716021656,0.185,False,Kraken,Coinbase Pro
67,01-13-2021_19-26-49,DASH/USD,25.0,134.996,134.686,0.05740910841802762,-0.12759089158197237,0.185,False,Kraken,Coinbase Pro
68,01-13-2021_19-26-57,DASH/USD,25.0,134.996,134.786,0.038890041186406994,-0.146109958813593,0.185,False,Kraken,Coinbase Pro
69,01-13-2021_19-27-08,DASH/USD,25.0,134.996,134.719,0.05129781623159487,-0.13370218376840512,0.185,False,Kraken,Coinbase Pro
70,01-13-2021_19-27-18,DASH/USD,25.0,134.972,134.658,0.05816021100673127,-0.12683978899326873,0.185,False,Kraken,Coinbase Pro
71,01-13-2021_19-27-28,DASH/USD,25.0,134.996,134.79639571,0.03696485266230043,-0.09053514733769957,0.1275,False,Kraken,Bittrex
72,01-13-2021_19-27-38,DASH/USD,25.0,134.996,134.783,0.0394456132033583,-0.1455543867966417,0.185,False,Kraken,Coinbase Pro
73,01-13-2021_19-27-49,DASH/USD,25.0,134.996,134.787,0.038704850514089895,-0.1462951494859101,0.185,False,Kraken,Coinbase Pro
74,01-13-2021_19-28-01,DASH/USD,25.0,134.993,134.699,0.054447267636096454,-0.13055273236390355,0.185,False,Kraken,Coinbase Pro
75,01-13-2021_19-28-11,DASH/USD,25.0,134.978,134.656,0.059639348634592804,-0.1253606513654072,0.185,False,Kraken,Coinbase Pro
76,01-13-2021_19-28-21,DASH/USD,25.0,134.948,134.655,0.054280167175505815,-0.13071983282449418,0.185,False,Kraken,Coinbase Pro
77,01-13-2021_19-28-31,DASH/USD,25.0,134.93,134.62,0.05743718965389503,-0.09256281034610497,0.15,False,Binance US,Coinbase Pro
78,01-13-2021_19-28-42,DASH/USD,25.0,134.92,134.6,0.05929439667951253,-0.08070560332048746,0.13999999999999999,False,Binance US,Coinbase Pro
79,01-13-2021_19-28-51,DASH/USD,25.0,134.92,134.572,0.06448265638896843,-0.07551734361103156,0.13999999999999999,False,Binance US,Coinbase Pro
80,01-13-2021_19-29-02,DASH/USD,25.0,134.863,134.576,0.05320213846644486,-0.13179786153355513,0.185,False,Kraken,Coinbase Pro
81,01-13-2021_19-29-15,DASH/USD,25.0,134.993,134.567,0.07889297963597885,-0.10610702036402114,0.185,False,Kraken,Coinbase Pro
82,01-13-2021_19-29-27,DASH/USD,25.0,134.875,134.54,0.06209453197405152,-0.12290546802594848,0.185,False,Kraken,Coinbase Pro
83,01-13-2021_19-29-38,DASH/USD,25.0,134.817,134.592,0.041723224815860445,-0.14327677518413956,0.185,False,Kraken,Coinbase Pro
84,01-13-2021_19-30-09,DASH/USD,25.0,134.935,134.64,0.05465594545522213,-0.13034405454477788,0.185,False,Kraken,Coinbase Pro
85,01-13-2021_19-30-20,DASH/USD,25.0,134.837,134.593,0.045239808064551974,-0.13976019193544803,0.185,False,Kraken,Coinbase Pro
86,01-13-2021_19-30-30,DASH/USD,25.0,134.774,134.442,0.06158457862792409,-0.12341542137207591,0.185,False,Kraken,Coinbase Pro
87,01-13-2021_19-30-42,DASH/USD,25.0,134.748,134.465,0.05250541752010922,-0.13249458247989077,0.185,False,Kraken,Coinbase Pro
88,01-13-2021_19-30-53,DASH/USD,25.0,134.82,134.433,0.07176234979973306,-0.07823765020026693,0.15,False,Binance US,Coinbase Pro
89,01-13-2021_19-31-04,DASH/USD,25.0,134.81,134.433,0.06991321118611557,-0.08008678881388442,0.15,False,Binance US,Coinbase Pro
90,01-13-2021_19-31-16,DASH/USD,25.0,134.79,134.452,0.06269011054232396,-0.08730988945767604,0.15,False,Binance US,Coinbase Pro
91,01-13-2021_19-31-27,DASH/USD,25.0,134.879,134.563,0.05857101550278444,-0.12642898449721557,0.185,False,Kraken,Coinbase Pro
