,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-13,EOS/USD,25.0,2.7451,2.743,0.01912498633929539,-0.13587501366070462,0.155,False,Binance US,Coinbase Pro
1,01-13-2021_19-15-24,EOS/USD,25.0,2.7443,2.743,0.011842728564662017,-0.143157271435338,0.155,False,Binance US,Coinbase Pro
2,01-13-2021_19-15-35,EOS/USD,25.0,2.7442,2.743,0.010932147802641132,-0.14406785219735888,0.155,False,Binance US,Coinbase Pro
3,01-13-2021_19-15-46,EOS/USD,25.0,2.74396527,2.742,0.01790538332870288,-0.1645946166712971,0.1825,False,Bittrex,Coinbase Pro
4,01-13-2021_19-15-56,EOS/USD,25.0,2.7442,2.743,0.010932147802641132,-0.14406785219735888,0.155,False,Binance US,Coinbase Pro
5,01-13-2021_19-16-08,EOS/USD,25.0,2.7439651,2.743,0.008792932534019502,-0.1837070674659805,0.1925,False,Bittrex,Coinbase Pro
6,01-13-2021_19-16-18,EOS/USD,25.0,2.74396502,2.742,0.01790310723421772,-0.16459688276578227,0.18249999,False,Bittrex,Coinbase Pro
7,01-13-2021_19-16-28,EOS/USD,25.0,2.74396499,2.743,0.008791930687132632,-0.18370806931286737,0.1925,False,Bittrex,Coinbase Pro
8,01-13-2021_19-16-39,EOS/USD,25.0,2.74396499,2.742,0.017902834102849045,-0.16459716589715095,0.1825,False,Bittrex,Coinbase Pro
9,01-13-2021_19-16-51,EOS/USD,25.0,2.74124527,2.739,0.020476733918814622,-0.16202326608118536,0.1825,False,Bittrex,Coinbase Pro
10,01-13-2021_19-17-03,EOS/USD,25.0,2.73806819,2.7316,0.05905797035683118,-0.013442029643168818,0.0725,False,Bittrex,Binance US
11,01-13-2021_19-17-14,EOS/USD,25.0,2.7343,2.733,0.011886040302820455,-0.17311395969717955,0.185,False,Kraken,Coinbase Pro
12,01-13-2021_19-17-26,EOS/USD,25.0,2.73368588,2.732,0.01541764557089214,-0.16708234442910785,0.18249999,False,Bittrex,Coinbase Pro
13,01-13-2021_19-17-36,EOS/USD,25.0,2.73323068,2.731,0.020403327244960735,-0.16209667275503925,0.1825,False,Bittrex,Coinbase Pro
14,01-13-2021_19-17-48,EOS/USD,25.0,2.73323068,2.7307,0.0231473327381208,-0.049352667261879195,0.0725,False,Bittrex,Binance US
15,01-13-2021_19-17-58,EOS/USD,25.0,2.73213732,2.7307,0.013151974367086022,-0.05934802563291397,0.0725,False,Bittrex,Binance US
