,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-09,ETH/USD,25.0,1105.155,1104.32,0.018888753161322085,-0.10811124683867791,0.127,False,Bittrex,Kraken
1,01-13-2021_19-15-19,ETH/USD,25.0,1105.54,1105.02,0.011758959422544228,-0.13824104057745576,0.15,False,Binance US,Coinbase Pro
2,01-13-2021_19-15-29,ETH/USD,25.0,1105.155,1104.47,0.015495563970663514,-0.16650443602933648,0.182,False,Bittrex,Coinbase Pro
3,01-13-2021_19-15-41,ETH/USD,25.0,1105.155,1104.07,0.024544068479082942,-0.15745593152091705,0.182,False,Bittrex,Coinbase Pro
4,01-13-2021_19-15-51,ETH/USD,25.0,1104.466,1103.29,0.026619198780223452,-0.15538080121977654,0.182,False,Bittrex,Coinbase Pro
5,01-13-2021_19-16-02,ETH/USD,25.0,1104.417,1103.4,0.023021195798322222,-0.15897880420167776,0.182,False,Bittrex,Coinbase Pro
6,01-13-2021_19-16-13,ETH/USD,25.0,1104.417,1103.51,0.02053119428621448,-0.16146880571378552,0.182,False,Bittrex,Coinbase Pro
7,01-13-2021_19-16-24,ETH/USD,25.0,1104.405,1102.9,0.03406811812695257,-0.14793188187304743,0.182,False,Bittrex,Coinbase Pro
8,01-13-2021_19-16-34,ETH/USD,25.0,1103.72,1102.69,0.023330192440111003,-0.161669807559889,0.185,False,Kraken,Coinbase Pro
9,01-13-2021_19-16-45,ETH/USD,25.0,1101.939,1100.0,0.043990638320271766,-0.018029361679728233,0.06202,False,Bittrex,Binance US
10,01-13-2021_19-16-57,ETH/USD,25.0,1099.666,1097.14,0.05742652769113168,-0.12457347230886831,0.182,False,Bittrex,Coinbase Pro
11,01-13-2021_19-17-09,ETH/USD,25.0,1097.388,1096.63,0.017268277036012122,-0.16473172296398786,0.182,False,Bittrex,Coinbase Pro
12,01-13-2021_19-17-21,ETH/USD,25.0,1098.19,1097.59,0.013658838634483476,-0.1713151513655165,0.18497398999999998,False,Kraken,Coinbase Pro
13,01-13-2021_19-17-32,ETH/USD,25.0,1099.76,1098.996,0.017367425620132947,-0.07463257437986705,0.092,False,Binance US,Bittrex
14,01-13-2021_19-17-42,ETH/USD,25.0,1099.01,1098.46,0.012511260134119673,-0.17248873986588031,0.185,False,Kraken,Coinbase Pro
15,01-13-2021_19-17-53,ETH/USD,25.0,1098.689,1096.64,0.046623748849764994,-0.135376251150235,0.182,False,Bittrex,Coinbase Pro
16,01-13-2021_19-18-05,ETH/USD,25.0,1097.208,1096.4,0.018410365217898354,-0.16358963478210164,0.182,False,Bittrex,Coinbase Pro
17,01-13-2021_19-18-16,ETH/USD,25.0,1097.47,1096.77,0.0159457661712859,-0.12405423382871408,0.13999999999999999,False,Binance US,Coinbase Pro
18,01-13-2021_19-18-28,ETH/USD,25.0,1098.87,1097.415,0.03310218679188456,-0.09389781320811544,0.127,False,Kraken,Bittrex
19,01-13-2021_19-18-38,ETH/USD,25.0,1098.495,1097.41,0.02469287525204505,-0.15730712474795494,0.182,False,Bittrex,Coinbase Pro
20,01-13-2021_19-18-49,ETH/USD,25.0,1098.63,1098.0,0.014336036700256436,-0.050683963299743576,0.06502000000000001,False,Kraken,Binance US
21,01-13-2021_19-19-00,ETH/USD,25.0,1098.483,1097.33,0.026240733811993905,-0.1557592661880061,0.182,False,Bittrex,Coinbase Pro
22,01-13-2021_19-19-12,ETH/USD,25.0,1098.481,1097.51,0.02209869811130105,-0.15990130188869894,0.182,False,Bittrex,Coinbase Pro
23,01-13-2021_19-19-24,ETH/USD,25.0,1098.481,1097.76,0.016409023005404817,-0.16559097699459518,0.182,False,Bittrex,Coinbase Pro
24,01-13-2021_19-19-35,ETH/USD,25.0,1098.53,1098.0,0.012061573193266745,-0.052958426806733266,0.06502000000000001,False,Kraken,Binance US
25,01-13-2021_19-19-46,ETH/USD,25.0,1098.67,1097.99,0.015473254025322973,-0.169526745974677,0.185,False,Kraken,Coinbase Pro
26,01-13-2021_19-19-57,ETH/USD,25.0,1098.82,1098.23,0.013423490653608374,-0.17157650934639163,0.185,False,Kraken,Coinbase Pro
27,01-13-2021_19-20-09,ETH/USD,25.0,1098.499,1097.96,0.012266738522292401,-0.1697332614777076,0.182,False,Bittrex,Coinbase Pro
28,01-13-2021_19-20-21,ETH/USD,25.0,1098.78,1098.35,0.009783578150313613,-0.1502164218496864,0.16,False,Binance US,Coinbase Pro
29,01-13-2021_19-20-31,ETH/USD,25.0,1099.7,1098.5,0.027280167318360585,-0.06471983268163942,0.092,False,Binance US,Bittrex
30,01-13-2021_19-20-43,ETH/USD,25.0,1100.56,1099.99,0.012947953768988888,-0.1370520462310111,0.15,False,Binance US,Coinbase Pro
31,01-13-2021_19-20-53,ETH/USD,25.0,1100.84,1100.0,0.0190763417026979,-0.1629236582973021,0.182,False,Bittrex,Coinbase Pro
32,01-13-2021_19-21-03,ETH/USD,25.0,1100.829,1099.98,0.019280923740197905,-0.1077190762598021,0.127,False,Bittrex,Kraken
33,01-13-2021_19-21-14,ETH/USD,25.0,1101.55,1100.0,0.035177704144159466,-0.04982229585584054,0.085,False,Binance US,Kraken
34,01-13-2021_19-21-23,ETH/USD,25.0,1102.993,1102.4,0.013440701799554648,-0.11355929820044536,0.127,False,Bittrex,Kraken
35,01-13-2021_19-21-35,ETH/USD,25.0,1102.721,1101.82,0.020426744389561532,-0.10657325561043847,0.127,False,Bittrex,Kraken
36,01-13-2021_19-21-46,ETH/USD,25.0,1102.718,1102.35,0.008343021515930762,-0.17365697848406925,0.182,False,Bittrex,Coinbase Pro
37,01-13-2021_19-21-56,ETH/USD,25.0,1102.78,1102.4,0.00861459221240596,-0.07638540778759405,0.085,False,Binance US,Kraken
38,01-13-2021_19-22-07,ETH/USD,25.0,1102.704,1102.28,0.009612733788940146,-0.11738726621105985,0.127,False,Bittrex,Kraken
39,01-13-2021_19-22-17,ETH/USD,25.0,1102.696,1102.0,0.015779507679358425,-0.16622049232064157,0.182,False,Bittrex,Coinbase Pro
40,01-13-2021_19-22-27,ETH/USD,25.0,1102.86,1102.4,0.010427434125813997,-0.07457256587418601,0.085,False,Binance US,Kraken
41,01-13-2021_19-22-36,ETH/USD,25.0,1102.685,1101.69,0.022558572937871897,-0.1594414270621281,0.182,False,Bittrex,Coinbase Pro
42,01-13-2021_19-22-46,ETH/USD,25.0,1103.05,1102.462,0.013326685100402644,-0.07867331489959735,0.092,False,Binance US,Bittrex
43,01-13-2021_19-22-56,ETH/USD,25.0,1103.04,1102.705,0.0075926530316225245,-0.07440734696837747,0.082,False,Binance US,Bittrex
44,01-13-2021_19-23-06,ETH/USD,25.0,1103.04,1102.705,0.0075926530316225245,-0.07440734696837747,0.082,False,Binance US,Bittrex
45,01-13-2021_19-23-15,ETH/USD,25.0,1103.04,1102.705,0.0075926530316225245,-0.07440734696837747,0.082,False,Binance US,Bittrex
46,01-13-2021_19-23-25,ETH/USD,25.0,1103.618,1102.99,0.014225936873083102,-0.1127740631269169,0.127,False,Bittrex,Kraken
47,01-13-2021_19-23-35,ETH/USD,25.0,1103.615,1102.99,0.01415801706210952,-0.11284198293789048,0.127,False,Bittrex,Kraken
48,01-13-2021_19-23-44,ETH/USD,25.0,1103.61,1102.99,0.014044816556570956,-0.11295518344342904,0.127,False,Bittrex,Kraken
49,01-13-2021_19-23-53,ETH/USD,25.0,1103.604,1102.27,0.030219172819237243,-0.15178082718076275,0.182,False,Bittrex,Coinbase Pro
50,01-13-2021_19-24-04,ETH/USD,25.0,1103.591,1102.97,0.014067711679414459,-0.11293228832058555,0.127,False,Bittrex,Kraken
51,01-13-2021_19-24-15,ETH/USD,25.0,1103.589,1103.0,0.013342829622258417,-0.04867717037774158,0.06202,False,Bittrex,Binance US
52,01-13-2021_19-24-25,ETH/USD,25.0,1104.33,1103.594,0.016661686271311028,-0.06533831372868898,0.082,False,Binance US,Bittrex
53,01-13-2021_19-24-35,ETH/USD,25.0,1103.95,1103.593,0.00808460528103562,-0.08391539471896438,0.092,False,Binance US,Bittrex
54,01-13-2021_19-24-43,ETH/USD,25.0,1103.63,1103.15,0.010873209318340798,-0.1391267906816592,0.15,False,Binance US,Coinbase Pro
55,01-13-2021_19-24-53,ETH/USD,25.0,1103.62,1103.39,0.005210126674031615,-0.13478987332596837,0.13999999999999999,False,Binance US,Coinbase Pro
