,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-14-2021_00-22-34,KNC/USD,25.0,1.11051,1.0985,0.2703712708575356,0.08788127085753561,0.18248999999999999,True,Bittrex,Coinbase Pro
0,01-14-2021_00-27-01,KNC/USD,25.0,1.10996,1.0959,0.31667807848931406,0.13417807848931407,0.1825,True,Bittrex,Coinbase Pro
1,01-14-2021_00-27-12,KNC/USD,25.0,1.10994,1.0956,0.32299043191523913,0.14049043191523913,0.1825,True,Bittrex,Coinbase Pro
2,01-14-2021_00-27-23,KNC/USD,25.0,1.1099,1.0954,0.32660600054059324,0.14410600054059325,0.1825,True,Bittrex,Coinbase Pro
3,01-14-2021_00-27-34,KNC/USD,25.0,1.1099,1.0953,0.328858455716735,0.146358455716735,0.1825,True,Bittrex,Coinbase Pro
4,01-14-2021_00-27-46,KNC/USD,25.0,1.10986,1.0944,0.34824212062782756,0.16574212062782756,0.1825,True,Bittrex,Coinbase Pro
5,01-14-2021_00-27-56,KNC/USD,25.0,1.10984,1.094,0.3568081885677182,0.17430818856771818,0.1825,True,Bittrex,Coinbase Pro
6,01-14-2021_00-28-07,KNC/USD,25.0,1.1098,1.0941,0.35366732744638285,0.17116732744638286,0.1825,True,Bittrex,Coinbase Pro
7,01-14-2021_00-28-18,KNC/USD,25.0,1.10975,1.0943,0.34805136291957567,0.16555136291957567,0.1825,True,Bittrex,Coinbase Pro
8,01-14-2021_00-28-30,KNC/USD,25.0,1.10969,1.0944,0.34446557146590545,0.16196557146590546,0.1825,True,Bittrex,Coinbase Pro
9,01-14-2021_00-28-41,KNC/USD,25.0,1.10966,1.0941,0.3505578285240528,0.16805782852405282,0.1825,True,Bittrex,Coinbase Pro
10,01-14-2021_00-28-52,KNC/USD,25.0,1.10962,1.0945,0.3406571619112854,0.15815716191128543,0.1825,True,Bittrex,Coinbase Pro
11,01-14-2021_00-29-04,KNC/USD,25.0,1.1096,1.0945,0.3402126892573876,0.15771268925738763,0.1825,True,Bittrex,Coinbase Pro
12,01-14-2021_00-29-16,KNC/USD,25.0,1.1096,1.0941,0.3492249459264566,0.1667249459264566,0.1825,True,Bittrex,Coinbase Pro
13,01-14-2021_00-29-29,KNC/USD,25.0,1.1096,1.0944,0.34246575342465485,0.15996575342465486,0.1825,True,Bittrex,Coinbase Pro
14,01-14-2021_00-29-41,KNC/USD,25.0,1.1096,1.0941,0.3492249459264566,0.1667249459264566,0.1825,True,Bittrex,Coinbase Pro
15,01-14-2021_00-29-54,KNC/USD,25.0,1.1096,1.0942,0.34697188175918936,0.15447188175918936,0.1925,True,Bittrex,Coinbase Pro
16,01-14-2021_00-30-06,KNC/USD,25.0,1.1096,1.094,0.3514780100937238,0.16897801009372382,0.1825,True,Bittrex,Coinbase Pro
17,01-14-2021_00-30-18,KNC/USD,25.0,1.1096,1.093,0.3740086517664012,0.1915086517664012,0.1825,True,Bittrex,Coinbase Pro
18,01-14-2021_00-30-29,KNC/USD,25.0,1.1096,1.0932,0.3695025234318667,0.18700252343186669,0.1825,True,Bittrex,Coinbase Pro
