,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-03,LTC/USD,25.0,141.493,141.34,0.027033139448593146,-0.15496686055140685,0.182,False,Bittrex,Coinbase Pro
1,01-13-2021_19-15-14,LTC/USD,25.0,141.401,141.31,0.01608899512733435,-0.11091100487266566,0.127,False,Bittrex,Kraken
2,01-13-2021_19-15-25,LTC/USD,25.0,141.495,141.3,0.03445351425845316,-0.09254648574154684,0.127,False,Bittrex,Kraken
3,01-13-2021_19-15-36,LTC/USD,25.0,141.419,141.27,0.026340166455709788,-0.03583983354429021,0.06218,False,Bittrex,Binance US
4,01-13-2021_19-15-46,LTC/USD,25.0,141.413,141.2,0.03765566107783978,-0.08934433892216022,0.127,False,Bittrex,Kraken
5,01-13-2021_19-15-57,LTC/USD,25.0,141.321,141.17,0.02671223668103298,-0.10028776331896702,0.127,False,Bittrex,Kraken
6,01-13-2021_19-16-08,LTC/USD,25.0,141.318,141.19,0.022643966090663308,-0.10435603390933669,0.127,False,Bittrex,Kraken
7,01-13-2021_19-16-18,LTC/USD,25.0,141.313,141.12,0.03414406317889784,-0.09285593682110216,0.127,False,Bittrex,Kraken
8,01-13-2021_19-16-29,LTC/USD,25.0,141.21,141.12,0.015933715742511758,-0.07906628425748824,0.095,False,Binance US,Kraken
9,01-13-2021_19-16-40,LTC/USD,25.0,141.21,141.05,0.028326605764463667,-0.12167339423553633,0.15,False,Binance US,Coinbase Pro
10,01-13-2021_19-16-51,LTC/USD,25.0,140.922,140.76,0.028739302592924836,-0.09826069740707516,0.127,False,Bittrex,Kraken
11,01-13-2021_19-17-04,LTC/USD,25.0,140.48,140.385,0.016906321184510048,-0.11009367881548995,0.127,False,Kraken,Bittrex
12,01-13-2021_19-17-15,LTC/USD,25.0,140.93,140.54,0.06918328248066678,-0.08081671751933321,0.15,False,Binance US,Coinbase Pro
13,01-13-2021_19-17-27,LTC/USD,25.0,140.64,140.59,0.008887940841862726,-0.17611205915813727,0.185,False,Kraken,Coinbase Pro
14,01-13-2021_19-17-37,LTC/USD,25.0,140.69,140.58,0.019546520719309336,-0.12045347928069065,0.13999999999999999,False,Binance US,Coinbase Pro
15,01-13-2021_19-17-48,LTC/USD,25.0,140.663,140.57,0.016528866866201083,-0.11047113313379892,0.127,False,Bittrex,Kraken
16,01-13-2021_19-17-59,LTC/USD,25.0,140.64,140.52,0.021331058020473574,-0.07366894197952642,0.095,False,Binance US,Kraken
17,01-13-2021_19-18-11,LTC/USD,25.0,140.59,140.547,0.007646347535387717,-0.08435365246461228,0.092,False,Binance US,Bittrex
18,01-13-2021_19-18-23,LTC/USD,25.0,140.7,140.546,0.02736318407960135,-0.06463681592039865,0.092,False,Binance US,Bittrex
19,01-13-2021_19-18-34,LTC/USD,25.0,140.702,140.55,0.02700743415160886,-0.09999256584839114,0.127,False,Bittrex,Kraken
20,01-13-2021_19-18-44,LTC/USD,25.0,140.547,140.51,0.006581428276662992,-0.175418571723337,0.182,False,Bittrex,Coinbase Pro
21,01-13-2021_19-18-55,LTC/USD,25.0,140.64,140.53,0.01955346985210204,-0.13044653014789795,0.15,False,Binance US,Coinbase Pro
22,01-13-2021_19-19-07,LTC/USD,25.0,140.6,140.54,0.010668563300142653,-0.08433143669985735,0.095,False,Binance US,Kraken
23,01-13-2021_19-19-19,LTC/USD,25.0,140.59,140.51,0.014225762856535406,-0.0807482271434646,0.09497399,False,Binance US,Kraken
24,01-13-2021_19-19-29,LTC/USD,25.0,140.57,140.547,0.004090488724478219,-0.07790951127552179,0.082,False,Binance US,Bittrex
25,01-13-2021_19-19-41,LTC/USD,25.0,140.63,140.547,0.014755030932233237,-0.06724496906776677,0.082,False,Binance US,Bittrex
26,01-13-2021_19-19-52,LTC/USD,25.0,140.65,140.48,0.030216850337720567,-0.09678314966227944,0.127,False,Bittrex,Kraken
27,01-13-2021_19-20-03,LTC/USD,25.0,140.65,140.52,0.023107003199430404,-0.1588929968005696,0.182,False,Bittrex,Coinbase Pro
28,01-13-2021_19-20-15,LTC/USD,25.0,140.65,140.51,0.024884464984005473,-0.1571155350159945,0.182,False,Bittrex,Coinbase Pro
29,01-13-2021_19-20-26,LTC/USD,25.0,140.69,140.49,0.03553912858056518,-0.1044608714194348,0.13999999999999999,False,Binance US,Coinbase Pro
30,01-13-2021_19-20-37,LTC/USD,25.0,140.75,140.62,0.023090586145647504,-0.1269094138543525,0.15,False,Binance US,Coinbase Pro
31,01-13-2021_19-20-48,LTC/USD,25.0,140.75,140.64,0.019538188277089457,-0.13046181172291055,0.15,False,Binance US,Coinbase Pro
32,01-13-2021_19-20-58,LTC/USD,25.0,140.767,140.61,0.027882955522242833,-0.15411704447775715,0.182,False,Bittrex,Coinbase Pro
33,01-13-2021_19-21-09,LTC/USD,25.0,140.767,140.67,0.017227048953236273,-0.16477295104676373,0.182,False,Bittrex,Coinbase Pro
34,01-13-2021_19-21-18,LTC/USD,25.0,140.85,140.73,0.021299254526092395,-0.0737007454739076,0.095,False,Binance US,Kraken
35,01-13-2021_19-21-30,LTC/USD,25.0,140.872,140.69,0.03229882446476524,-0.14970117553523477,0.182,False,Bittrex,Coinbase Pro
36,01-13-2021_19-21-40,LTC/USD,25.0,140.872,140.69,0.03229882446476524,-0.14970117553523477,0.182,False,Bittrex,Coinbase Pro
