,Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
0,01-13-2021_19-15-08,XTZ/USD,25.0,2.46567639,2.4627,0.0301782303232437,-0.15232176967675629,0.1825,False,Bittrex,Coinbase Pro
1,01-13-2021_19-15-17,XTZ/USD,25.0,2.46567387,2.4633,0.024069180730702237,-0.15843081926929775,0.1825,False,Bittrex,Coinbase Pro
2,01-13-2021_19-15-28,XTZ/USD,25.0,2.46567196,2.4632,0.025063755845281106,-0.1024362441547189,0.1275,False,Bittrex,Kraken
3,01-13-2021_19-15-40,XTZ/USD,25.0,2.46567185,2.463,0.027090486513848457,-0.045409513486151534,0.0725,False,Bittrex,Binance US
4,01-13-2021_19-15-50,XTZ/USD,25.0,2.46378385,2.4591,0.047526997954793766,-0.02497300204520623,0.0725,False,Bittrex,Binance US
5,01-13-2021_19-16-00,XTZ/USD,25.0,2.4619307,2.4584,0.03585295881805057,-0.14664704118194943,0.1825,False,Bittrex,Coinbase Pro
6,01-13-2021_19-16-12,XTZ/USD,25.0,2.46193062,2.4586,0.03382122116828621,-0.1486787788317138,0.1825,False,Bittrex,Coinbase Pro
7,01-13-2021_19-16-22,XTZ/USD,25.0,2.46193044,2.4584,0.03585032239984838,-0.14664967760015163,0.1825,False,Bittrex,Coinbase Pro
8,01-13-2021_19-16-32,XTZ/USD,25.0,2.46193018,2.4584,0.03584768598108484,-0.14665231401891515,0.1825,False,Bittrex,Coinbase Pro
9,01-13-2021_19-16-43,XTZ/USD,25.0,2.46028271,2.4541,0.06282519865369492,-0.11967480134630508,0.1825,False,Bittrex,Coinbase Pro
10,01-13-2021_19-16-56,XTZ/USD,25.0,2.45667998,2.4545,0.022184208136057183,-0.16031579186394282,0.1825,False,Bittrex,Coinbase Pro
11,01-13-2021_19-17-08,XTZ/USD,25.0,2.452,2.4491,0.02956769983686687,-0.1554320401631331,0.18499974,False,Kraken,Coinbase Pro
12,01-13-2021_19-17-20,XTZ/USD,25.0,2.45106855,2.4497,0.013958707927610019,-0.16854129207238996,0.1825,False,Bittrex,Coinbase Pro
13,01-13-2021_19-17-30,XTZ/USD,25.0,2.4539,2.45106848,0.028847141285300706,-0.05865285871469929,0.0875,False,Binance US,Bittrex
14,01-13-2021_19-17-40,XTZ/USD,25.0,2.45263262,2.4506,0.02071875730006437,-0.16178124269993563,0.1825,False,Bittrex,Coinbase Pro
15,01-13-2021_19-17-52,XTZ/USD,25.0,2.45263263,2.4511,0.015622294807358255,-0.16687770519264175,0.1825,False,Bittrex,Coinbase Pro
16,01-13-2021_19-18-03,XTZ/USD,25.0,2.4508,2.4494,0.014281051085362838,-0.13071894891463715,0.145,False,Binance US,Coinbase Pro
17,01-13-2021_19-18-14,XTZ/USD,25.0,2.4515,2.45034202,0.011808892514785762,-0.07569110748521424,0.0875,False,Binance US,Bittrex
18,01-13-2021_19-18-27,XTZ/USD,25.0,2.45402354,2.4538,0.0022772805186692608,-0.12522271948133074,0.1275,False,Bittrex,Kraken
19,01-13-2021_19-18-37,XTZ/USD,25.0,2.45402349,2.4529,0.011445387590808001,-0.171054612409192,0.1825,False,Bittrex,Coinbase Pro
20,01-13-2021_19-18-48,XTZ/USD,25.0,2.4542,2.451,0.03259718034390118,-0.042402819656098815,0.075,False,Kraken,Binance US
21,01-13-2021_19-18-59,XTZ/USD,25.0,2.4542,2.4532,0.01018661885747223,-0.17481338114252776,0.185,False,Kraken,Coinbase Pro
22,01-13-2021_19-19-11,XTZ/USD,25.0,2.45740369,2.4553,0.021401550837585555,-0.05109844916241444,0.0725,False,Bittrex,Binance US
23,01-13-2021_19-19-22,XTZ/USD,25.0,2.45740359,2.4553,0.021400534374579238,-0.051099465625420754,0.0725,False,Bittrex,Binance US
24,01-13-2021_19-19-33,XTZ/USD,25.0,2.45740358,2.4551,0.0234351005543824,-0.15906489944561758,0.1825,False,Bittrex,Coinbase Pro
25,01-13-2021_19-19-44,XTZ/USD,25.0,2.45740354,2.4554,0.020382692213424845,-0.052117307786575154,0.0725,False,Bittrex,Binance US
26,01-13-2021_19-19-55,XTZ/USD,25.0,2.4567977,2.4554,0.014222782771247885,-0.05827721722875211,0.0725,False,Bittrex,Binance US
27,01-13-2021_19-20-07,XTZ/USD,25.0,2.45679763,2.4554,0.01422207086710718,-0.058277929132892814,0.0725,False,Bittrex,Binance US
28,01-13-2021_19-20-18,XTZ/USD,25.0,2.45679759,2.453,0.038643700395359165,-0.08885629960464084,0.1275,False,Bittrex,Kraken
29,01-13-2021_19-20-30,XTZ/USD,25.0,2.4567975,2.453,0.038642785984601094,-0.08885721401539891,0.1275,False,Bittrex,Kraken
30,01-13-2021_19-20-41,XTZ/USD,25.0,2.45650982,2.4554,0.011294683120785654,-0.06120531687921434,0.0725,False,Bittrex,Binance US
31,01-13-2021_19-20-51,XTZ/USD,25.0,2.46083914,2.4581,0.0278272963424997,-0.1646727036575003,0.1925,False,Bittrex,Coinbase Pro
32,01-13-2021_19-21-01,XTZ/USD,25.0,2.46083906,2.4588,0.02071508894206171,-0.1617849110579383,0.1825,False,Bittrex,Coinbase Pro
33,01-13-2021_19-21-12,XTZ/USD,25.0,2.46083898,2.4587,0.021730190571024627,-0.16076980942897537,0.1825,False,Bittrex,Coinbase Pro
34,01-13-2021_19-21-22,XTZ/USD,25.0,2.4609,2.46,0.009142996464709282,-0.1758570035352907,0.185,False,Kraken,Coinbase Pro
35,01-13-2021_19-21-33,XTZ/USD,25.0,2.46105067,2.4604,0.00660967699620937,-0.17589032300379062,0.1825,False,Bittrex,Coinbase Pro
36,01-13-2021_19-21-44,XTZ/USD,25.0,2.4614,2.4609,0.005078410660596845,-0.13992158933940316,0.145,False,Binance US,Coinbase Pro
37,01-13-2021_19-21-54,XTZ/USD,25.0,2.46105026,2.4601,0.009652992621123456,-0.17284700737887654,0.1825,False,Bittrex,Coinbase Pro
38,01-13-2021_19-22-05,XTZ/USD,25.0,2.46104852,2.4603,0.0076036696749044305,-0.06489633032509556,0.0725,False,Bittrex,Binance US
39,01-13-2021_19-22-16,XTZ/USD,25.0,2.4610484,2.4598,0.012681587245502257,-0.16981841275449774,0.1825,False,Bittrex,Coinbase Pro
40,01-13-2021_19-22-25,XTZ/USD,25.0,2.46104834,2.4589,0.021823423427759576,-0.17067656657224042,0.19249999,False,Bittrex,Coinbase Pro
41,01-13-2021_19-22-35,XTZ/USD,25.0,2.459871,2.4575,0.024096792067552757,-0.15840320793244725,0.1825,False,Bittrex,Coinbase Pro
42,01-13-2021_19-22-45,XTZ/USD,25.0,2.45986919,2.4575,0.024078414511139318,-0.15842158548886068,0.1825,False,Bittrex,Coinbase Pro
43,01-13-2021_19-22-55,XTZ/USD,25.0,2.46176774,2.4599,0.018967467662077096,-0.1635325323379229,0.1825,False,Bittrex,Coinbase Pro
44,01-13-2021_19-23-04,XTZ/USD,25.0,2.46176557,2.4598,0.01996097865646749,-0.16253901134353252,0.18249999,False,Bittrex,Coinbase Pro
