Date,Symbol,Investment,High,Low,Adjusted Spread,Adj. Spread after fees,Fees,Profitable,Sell exchange,Buy exchange
01-09-2021_18-56-57,BTC/USD,100,40182.6,40165.54,0.04245618750403825,-0.4675438124959618,0.51,False,Kraken,Bittrex
01-09-2021_18-56-58,ETH/USD,100,1281.54,1280.72,0.06398551742434386,-0.5360144825756561,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-56-59,XRP/USD,100,0.32602,0.3254,0.19017238206243603,-0.5598176179375639,0.7499899999999999,False,Bittrex,Coinbase Pro
01-09-2021_18-57-01,BCH/USD,100,574.64,572.98,0.288876513991363,-0.211293486008637,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-57-01,BTC/USD,100,40201.7,40193.7,0.019899655984697166,-0.7401003440153029,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-57-01,ETH/USD,100,1281.39,1280.02,0.10691514683274556,-0.6430848531672544,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-02,XRP/USD,100,0.32751,0.32587,0.5007480687612684,-0.009251931238731581,0.51,False,Bittrex,Kraken
01-09-2021_18-57-02,BCH/USD,100,574.64,572.6,0.35500487261589236,-0.14516512738410764,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-57-03,BTC/USD,100,40230.82,40200.0,0.07660793391732933,-0.28339206608267065,0.36,False,Binance US,Kraken
01-09-2021_18-57-03,ETH/USD,100,1281.337,1280.36,0.07624848107875518,-0.6737515189212449,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-04,XRP/USD,100,0.32751,0.32587,0.5007480687612684,-0.009251931238731581,0.51,False,Bittrex,Kraken
01-09-2021_18-57-04,BCH/USD,100,574.514,573.13,0.24089926442175727,-0.009270735578242734,0.25017,False,Bittrex,Binance US
01-09-2021_18-57-04,BTC/USD,100,40230.82,40200.0,0.07660793391732933,-0.28339206608267065,0.36,False,Binance US,Kraken
01-09-2021_18-57-05,ETH/USD,100,1281.97,1280.92,0.08190519278921929,-0.5180948072107807,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-57-05,XRP/USD,100,0.32654,0.326,0.16537024560543423,-0.5846297543945658,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-05,BCH/USD,100,574.514,573.09,0.24786167090792882,-0.002308329092071182,0.25017,False,Bittrex,Binance US
01-09-2021_18-57-06,BTC/USD,100,40240.48,40200.0,0.10059522152818058,-0.6594047784718194,0.76,False,Coinbase Pro,Kraken
01-09-2021_18-57-06,ETH/USD,100,1281.97,1281.356,0.04789503654531953,-0.30210496345468046,0.35,False,Binance US,Bittrex
01-09-2021_18-57-06,XRP/USD,100,0.32654,0.326,0.16537024560543423,-0.5846297543945658,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-07,BCH/USD,100,574.026,573.09,0.16305881615117115,-0.08711118384882885,0.25017,False,Bittrex,Binance US
01-09-2021_18-57-07,BTC/USD,100,40245.05,40219.4,0.06373454623612457,-0.2962654537638754,0.36,False,Binance US,Kraken
01-09-2021_18-57-08,ETH/USD,100,1281.97,1281.356,0.04789503654531953,-0.30210496345468046,0.35,False,Binance US,Bittrex
01-09-2021_18-57-08,XRP/USD,100,0.32654,0.326,0.16537024560543423,-0.5846297543945658,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-09,BCH/USD,100,574.026,573.09,0.16305881615117115,-0.08711118384882885,0.25017,False,Bittrex,Binance US
01-09-2021_18-57-09,BTC/USD,100,40245.05,40219.4,0.06373454623612457,-0.2962654537638754,0.36,False,Binance US,Kraken
01-09-2021_18-57-10,ETH/USD,100,1282.002,1281.49,0.03993753519884865,-0.7100624648011513,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-10,XRP/USD,100,0.32654,0.3259,0.19599436516199362,-0.5540056348380064,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-11,BCH/USD,100,574.03,573.13,0.15678623068480346,-0.34338376931519654,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-57-11,BTC/USD,100,40245.05,40239.52,0.013740820299654519,-0.33625917970034547,0.35,False,Binance US,Bittrex
01-09-2021_18-57-12,ETH/USD,100,1283.29,1281.49,0.14026447646283807,-0.4597355235371619,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-57-12,XRP/USD,100,0.32654,0.326,0.16537024560543423,-0.5846297543945658,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-13,BCH/USD,100,574.01,573.13,0.15330743366840222,-0.3468625663315978,0.50017,False,Coinbase Pro,Binance US
01-09-2021_18-57-13,BTC/USD,100,40260.78,40239.52,0.05280573302355801,-0.29719426697644197,0.35,False,Binance US,Bittrex
01-09-2021_18-57-14,ETH/USD,100,1283.29,1282.47,0.063898261499734,-0.536101738500266,0.6,False,Binance US,Coinbase Pro
01-09-2021_18-57-15,XRP/USD,100,0.32654,0.326,0.16537024560543423,-0.5846297543945658,0.75,False,Bittrex,Coinbase Pro
01-09-2021_18-57-15,BCH/USD,100,574.09,573.13,0.1672211674127813,-0.3329488325872187,0.50017,False,Coinbase Pro,Binance US
